,ds,location,Area_Marla,bedrooms,bathrooms,yhat
203,2022-09-01,"D-12, Islamabad",4.4,4,4,34810960.28186948
204,2022-09-02,"D-12, Islamabad",4.4,4,4,31123853.318839613
205,2022-09-03,"D-12, Islamabad",4.4,4,4,29637701.695308138
206,2022-09-04,"D-12, Islamabad",4.4,4,4,29653532.264531765
207,2022-09-05,"D-12, Islamabad",4.4,4,4,33708182.82835354
208,2022-09-06,"D-12, Islamabad",4.4,4,4,36929050.19058489
209,2022-09-07,"D-12, Islamabad",4.4,4,4,29701023.64702188
210,2022-09-08,"D-12, Islamabad",4.4,4,4,34921773.795282766
211,2022-09-09,"D-12, Islamabad",4.4,4,4,31234666.83226753
212,2022-09-10,"D-12, Islamabad",4.4,4,4,29748515.208718512
213,2022-09-11,"D-12, Islamabad",4.4,4,4,29764345.77795495
214,2022-09-12,"D-12, Islamabad",4.4,4,4,33818996.34176948
215,2022-09-13,"D-12, Islamabad",4.4,4,4,37039863.7040099
216,2022-09-14,"D-12, Islamabad",4.4,4,4,29811837.160444792
217,2022-09-15,"D-12, Islamabad",4.4,4,4,35032587.30869932
218,2022-09-16,"D-12, Islamabad",4.4,4,4,31345480.345673073
219,2022-09-17,"D-12, Islamabad",4.4,4,4,29859328.72214411
220,2022-09-18,"D-12, Islamabad",4.4,4,4,29875159.29135992
221,2022-09-19,"D-12, Islamabad",4.4,4,4,33929809.85518323
222,2022-09-20,"D-12, Islamabad",4.4,4,4,37150677.217416786
223,2022-09-21,"D-12, Islamabad",4.4,4,4,29922650.673859354
224,2022-09-22,"D-12, Islamabad",4.4,4,4,35143400.82211586
225,2022-09-23,"D-12, Islamabad",4.4,4,4,31456293.859089807
226,2022-09-24,"D-12, Islamabad",4.4,4,4,29970142.235539265
227,2022-09-25,"D-12, Islamabad",4.4,4,4,29985972.804766864
228,2022-09-26,"D-12, Islamabad",4.4,4,4,34040623.36858512
229,2022-09-27,"D-12, Islamabad",4.4,4,4,37261490.730823666
230,2022-09-28,"D-12, Islamabad",4.4,4,4,30033464.187273916
231,2022-09-29,"D-12, Islamabad",4.4,4,4,35254214.335532404
232,2022-09-30,"D-12, Islamabad",4.4,4,4,31567107.37251755
233,2022-10-01,"D-12, Islamabad",4.4,4,4,30080955.748964857
234,2022-10-02,"D-12, Islamabad",4.4,4,4,30096786.318206295
235,2022-10-03,"D-12, Islamabad",4.4,4,4,34151436.88201509
236,2022-10-04,"D-12, Islamabad",4.4,4,4,37372304.24423962
237,2022-10-05,"D-12, Islamabad",4.4,4,4,30144277.700694546
238,2022-10-06,"D-12, Islamabad",4.4,4,4,35365027.848953895
239,2022-10-07,"D-12, Islamabad",4.4,4,4,31677920.88593428
240,2022-10-08,"D-12, Islamabad",4.4,4,4,30191769.262390457
241,2022-10-09,"D-12, Islamabad",4.4,4,4,30207599.831613243
242,2022-10-10,"D-12, Islamabad",4.4,4,4,34262250.39543103
243,2022-10-11,"D-12, Islamabad",4.4,4,4,37483117.75766822
244,2022-10-12,"D-12, Islamabad",4.4,4,4,30255091.21411139
245,2022-10-13,"D-12, Islamabad",4.4,4,4,35475841.3623655
246,2022-10-14,"D-12, Islamabad",4.4,4,4,31788734.399339817
247,2022-10-15,"D-12, Islamabad",4.4,4,4,30302582.775798514
248,2022-10-16,"D-12, Islamabad",4.4,4,4,30318413.345018208
249,2022-10-17,"D-12, Islamabad",4.4,4,4,34373063.90884695
250,2022-10-18,"D-12, Islamabad",4.4,4,4,37593931.27108416
251,2022-10-19,"D-12, Islamabad",4.4,4,4,30365904.727523666
252,2022-10-20,"D-12, Islamabad",4.4,4,4,35586654.87578699
253,2022-10-21,"D-12, Islamabad",4.4,4,4,31899547.912756547
254,2022-10-22,"D-12, Islamabad",4.4,4,4,30413396.289224107
255,2022-10-23,"D-12, Islamabad",4.4,4,4,30429226.85842516
256,2022-10-24,"D-12, Islamabad",4.4,4,4,34483877.422262885
257,2022-10-25,"D-12, Islamabad",4.4,4,4,37704744.784491055
258,2022-10-26,"D-12, Islamabad",4.4,4,4,30476718.24094051
259,2022-10-27,"D-12, Islamabad",4.4,4,4,35697468.38919534
260,2022-10-28,"D-12, Islamabad",4.4,4,4,32010361.426173277
261,2022-10-29,"D-12, Islamabad",4.4,4,4,30524209.802634485
