property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day,agency,agent
17051331,160,https://www.zameen.com/Property/islamabad_d_12_well_built_portion_available_in_good_location-17051331-160-4.html,Upper Portion,60000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,14 Marla,14,3811.51,For Rent,3,7/4/2019,2019,7,4,,
17051388,160,https://www.zameen.com/Property/islamabad_d_12_open_basement_portion_is_available_for_rent-17051388-160-4.html,Lower Portion,65000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1 Kanal,20,5445.02,For Rent,3,7/2/2019,2019,7,2,Nassar Property Marketing,Osama
17051390,160,https://www.zameen.com/Property/islamabad_d_12_open_basement_portion_is_available_for_rent-17051390-160-4.html,Lower Portion,85000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1 Kanal,20,5445.02,For Rent,3,7/2/2019,2019,7,2,Nassar Property Marketing,Osama
17051392,160,https://www.zameen.com/Property/islamabad_d_12_upper_portion_is_available_for_rent-17051392-160-4.html,Upper Portion,75000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1 Kanal,20,5445.02,For Rent,3,7/2/2019,2019,7,2,Nassar Property Marketing,Osama
17051393,160,https://www.zameen.com/Property/islamabad_d_12_house_is_available_for_rent-17051393-160-4.html,House,90000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,6,10 Marla,10,2722.51,For Rent,6,7/2/2019,2019,7,2,Nassar Property Marketing,Osama
17051397,160,https://www.zameen.com/Property/islamabad_d_12_house_is_available_for_rent-17051397-160-4.html,House,110000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,6,14 Marla,14,3811.51,For Rent,6,7/2/2019,2019,7,2,Nassar Property Marketing,Osama
17053504,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-17053504-160-1.html,House,41000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,10 Marla,10,2722.51,For Sale,0,7/3/2019,2019,7,3,Abdullah Associates,Arsalan
17053510,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-17053510-160-1.html,House,41000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,10 Marla,10,2722.51,For Sale,0,7/3/2019,2019,7,3,Abdullah Associates,Arsalan
17053516,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-17053516-160-1.html,House,48000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,10 Marla,10,2722.51,For Sale,0,7/3/2019,2019,7,3,Abdullah Associates,Arsalan
17053549,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-17053549-160-1.html,House,42000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,10 Marla,10,2722.51,For Sale,0,7/3/2019,2019,7,3,Abdullah Associates,Arsalan
